,Lat,Lng,City,Temperature,Humidity,Cloudiness,Wind Speed
0,-33.64,115.35,saint anthony,55.0,54,25,26.11
1,-33.21,138.6,saint anthony,63.04,61,58,2.68
2,19.71,-155.08,saint anthony,87.8,55,20,9.17
3,57.66,40.04,saint anthony,42.8,100,0,4.47
4,60.42,134.54,saint anthony,54.04,90,100,6.49
5,60.79,-161.76,saint anthony,57.2,93,90,20.8
6,53.59,-116.44,saint anthony,73.4,40,1,3.36
7,-54.81,-68.31,saint anthony,35.6,69,40,21.92
8,64.86,-147.8,saint anthony,64.4,52,75,10.29
9,-9.65,120.26,saint anthony,73.84,72,65,11.65
10,24.81,113.59,saint anthony,74.74,90,100,2.13
11,42.65,-73.75,saint anthony,70.0,100,90,3.36
12,-16.48,-151.75,saint anthony,77.8,85,44,18.79
13,-2.02,147.27,saint anthony,82.48,79,77,7.18
14,64.25,-15.21,saint anthony,30.28,81,14,13.04
15,-46.19,168.86,saint anthony,53.01,85,100,3.0
16,-53.16,-70.91,saint anthony,37.4,59,0,8.05
17,-51.62,-69.22,saint anthony,33.8,64,40,9.17
18,43.0,-4.14,saint anthony,61.0,82,0,1.12
19,62.23,-6.59,saint anthony,48.2,61,85,11.41
20,20.2,1.01,saint anthony,94.54,26,92,4.88
21,15.34,74.49,saint anthony,69.8,100,75,11.41
22,25.02,37.27,saint anthony,85.0,74,100,11.88
23,31.44,-87.99,saint anthony,84.99,78,8,4.16
24,49.2,119.7,saint anthony,66.46,64,40,9.28
25,4.68,12.37,saint anthony,69.34,97,63,6.38
26,39.31,-74.98,saint anthony,75.2,73,1,4.7
27,-23.12,-134.97,saint anthony,71.68,89,100,15.21
28,57.25,58.73,saint anthony,39.46,98,22,4.63
29,59.7,30.79,saint anthony,55.99,87,75,4.47
30,63.75,-68.52,saint anthony,42.8,81,90,23.04
31,31.27,56.81,saint anthony,64.3,25,0,1.63
32,73.51,80.55,saint anthony,38.2,88,89,6.49
33,-38.31,-60.23,saint anthony,37.66,67,56,11.97
34,35.84,-90.7,saint anthony,87.8,83,1,3.36
35,33.37,134.14,saint anthony,84.2,66,75,2.24
36,41.42,-90.02,saint anthony,81.0,69,1,10.29
37,77.48,-69.36,saint anthony,30.46,53,7,4.81
38,-9.08,-44.36,saint anthony,78.16,42,41,2.98
